Style,OG,FG,ABV,IBU,Color
0,1.103,1.026,11.24,98.86,17.62
0,1.113,1.023,11.8,86.48,22.65
0,1.099,1.023,9.97,90.5,13.57
0,1.098,1.022,9.99,114.51,12.94
0,1.133,1.034,12.95,111.37,25.13
1,1.089,1.017,9.48,91.86,18.46
0,1.098,1.024,9.72,81.26,18.35
1,1.109,1.025,11.08,80.24,17.78
1,1.087,1.023,8.3,72.64,12.8
0,1.09,1.019,9.33,74.91,12.19
1,1.108,1.025,10.97,88.52,18.43
1,1.097,1.023,9.76,68.65,18.42
1,1.122,1.028,12.38,33.63,27.01
0,1.11,1.021,11.7,61.52,17.7
1,1.099,1.02,10.3,56.75,8.34
1,1.089,1.025,8.42,35.03,10.16
0,1.101,1.021,10.51,100.64,9.25
0,1.09,1.023,8.87,67.23,14.14
1,1.087,1.023,8.31,37.66,10.3
1,1.108,1.019,11.71,50.2,13.19
1,1.101,1.025,9.92,75.57,9.97
1,1.109,1.026,10.97,80.54,25.32
0,1.085,1.017,8.92,71.74,11.17
1,1.118,1.033,11.13,69.64,16.32
0,1.117,1.026,11.97,109.11,13.85
0,1.089,1.022,8.82,79.15,11.81
0,1.102,1.033,9.12,57,18.18
1,1.103,1.02,10.92,87.5,22.76
1,1.085,1.025,8.47,53.87,17.08
1,1.121,1.038,10.89,79.2,20.34
1,1.089,1.027,8.16,40.54,11.57
0,1.087,1.016,9.95,40.48,19.87
0,1.11,1.021,11.66,96.16,10.67
1,1.088,1.022,8.64,0,38.72
1,1.095,1.024,9.39,47.56,17.87
1,1.107,1.018,11.72,38.33,8.13
0,1.116,1.031,11.16,109.92,11.79
0,1.094,1.017,10.1,87.29,13.11
1,1.055,1.014,5.41,22.86,26.44
0,1.128,1.028,13.04,106.94,22.97
1,1.117,1.026,11.94,37.24,18.97
1,1.114,1.031,10.9,94.42,17.8
1,1.084,1.022,8.23,80.08,10.69
0,1.114,1.031,10.94,102.89,11.7
1,1.1,1.026,9.7,56.02,14.17
1,1.124,1.031,12.17,98.84,32.68
0,1.111,1.028,10.93,62.98,18.26
1,1.083,1.017,8.65,72.37,50
1,1.104,1.025,10.45,75.66,26.24
0,1.101,1.021,10.44,95.19,8.96
0,1.089,1.022,8.78,0,24.01
1,1.103,1.028,9.85,58.46,16.91
0,1.084,1.021,8.29,114.83,12.29
0,1.103,1.029,9.76,66.19,9.58
0,1.095,1.022,9.6,99.23,10.9
1,1.125,1.03,12.5,90.45,11.9
0,1.103,1.026,10.09,96.04,16.97
0,1.09,1.017,9.6,100.33,13.18
0,1.088,1.019,9.12,95.22,15.03
0,1.093,1.016,10.16,95.38,16.92
1,1.094,1.027,9.72,58.76,11.02
1,1.1,1.023,10.1,64.43,16.18
1,1.095,1.022,9.59,41.58,9.64
0,1.082,1.021,8.09,59.56,50
0,1.098,1.022,9.94,103.73,14.68
1,1.089,1.021,8.89,36.26,10.5
0,1.112,1.026,11.34,50.43,19.91
0,1.1,1.023,10.03,119.68,11.89
0,1.106,1.027,10.27,107.92,10.01
1,1.084,1.019,8.57,100.36,7.66
0,1.118,1.02,12.89,99.53,17.12
1,1.114,1.03,10.97,78.83,17.87
1,1.1,1.016,11.06,47.76,11.16
0,1.095,1.022,9.61,99.17,10.96
1,1.09,1.021,9.11,89.58,13.9
1,1.12,1.03,11.86,69.51,19.36
1,1.095,1.026,9.03,66.48,14.09
1,1.11,1.026,10.97,40.66,19
0,1.082,1.024,7.5,79.9,10.53
1,1.091,1.028,8.22,51.45,27.52
0,1.123,1.031,12.11,86.72,6.01
0,1.097,1.022,9.83,73.2,14.55
1,1.091,1.026,8.56,48.01,14.73
0,1.091,1.019,9.45,75.78,15.5
1,1.105,1.031,9.73,42.92,18.46
1,1.099,1.023,10.05,77.56,19.74
0,1.057,1.014,5.64,0,12.63
0,1.079,1.015,8.41,97.55,12.61
0,1.102,1.024,10.32,86.22,10.71
1,1.104,1.013,11.88,51.42,28.41
0,1.085,1.022,8.28,78.16,10.55
0,1.1,1.025,9.84,61.68,22.02
1,1.107,1.025,10.69,49.33,18.05
0,1.101,1.021,10.5,61.69,22.18
0,1.101,1.021,10.46,110.17,16.24
0,1.137,1.041,12.52,106.77,21.19
0,1.099,1.028,9.37,73.29,17.64
0,1.113,1.023,11.72,88.33,19.79
0,1.137,1.034,13.51,111.16,45.93
1,1.116,1.02,12.62,108.65,13.27
0,1.119,1.022,12.79,94.37,23.07
1,1.094,1.021,9.5,78.06,16.09
1,1.128,1.031,14.83,19.19,12.54
1,1.103,1.023,10.44,72.93,18.63
0,1.09,1.012,10.35,86.41,8.55
0,1.098,1.024,9.61,84.72,14.13
0,1.098,1.023,9.87,87.93,16.81
0,1.084,1.016,8.92,80.66,11.06
1,1.084,1.019,8.57,100.36,7.66
0,1.113,1.027,11.32,92.59,17.25
0,1.099,1.018,10.72,61.14,19
0,1.101,1.02,10.68,99.97,19.98
1,1.107,1.024,10.79,76.71,19.29
0,1.09,1.022,8.82,0,5.51
1,1.109,1.025,11,94.26,24.48
0,1.109,1.022,11.39,97.1,10.71
1,1.109,1.029,11.93,83.23,35.34
1,1.128,1.037,12.01,55.46,35.17
1,1.099,1.022,10.01,80.17,14.56
1,1.126,1.031,12.36,85.34,25.8
1,1.13,1.038,12.08,64,13.89
0,1.098,1.017,10.61,95.46,18.3
1,1.105,1.028,10.04,52.93,23.7
1,1.1,1.021,10.31,81.64,21.81
0,1.099,1.023,10.09,92.85,23.58
0,1.102,1.022,10.42,100.04,20.47
1,1.103,1.027,11.07,54.77,29.33
1,1.137,1.035,13.4,55.29,18.13
1,1.101,1.023,10.28,84.75,16.75
0,1.107,1.017,11.81,57.92,11.48
1,1.104,1.024,10.58,76.3,22.28
0,1.106,1.022,11.09,60.33,17.15
1,1.115,1.024,12,63.55,16.2
1,1.11,1.022,11.58,36.3,18.29
1,1.097,1.028,9.05,71.18,16.42
1,1.078,1.022,7.23,50.42,9.36
1,1.092,1.02,9.39,65.37,14.26
0,1.097,1.024,9.57,59.65,15.92
1,1.081,1.016,8.48,39.8,20.51
1,1.102,1.026,10.05,43.67,22.56
1,1.11,1.023,11.46,65.39,18.3
1,1.087,1.024,8.22,100.17,16.31
0,1.102,1.021,10.65,72.14,15.34
0,1.066,1.012,6.98,47.27,23.49
1,1.076,1.018,7.57,49.49,13.49
0,1.095,1.024,9.37,106.03,16.92
1,1.097,1.023,9.64,38.17,23.21
1,1.097,1.022,9.79,26.22,8.15
0,1.124,1.033,11.98,85.63,8.81
1,1.139,1.041,12.9,72.38,15.41
0,1.111,1.028,10.9,42.4,21.35
1,1.078,1.014,8.94,57.54,22.83
1,1.115,1.029,11.37,95.06,26.47
0,1.103,1.012,11.93,65.04,20.81
1,1.099,1.03,9.05,55.23,23.06
0,1.137,1.032,13.74,119.79,20.65
1,1.097,1.023,9.76,64.53,20.76
